Fecha,BTC_price,BTC_supply,MarketCapBTC_USD,M2SL_USD,m2_published,TxVolumeUSD,TxTfrCnt,Gold_price,Dominance_dec,DMB,MC2,MC1,RV12,UC
2019-11-01,7163.63,18076100.0,129490492243.0,15296000000000.0,True,33035032656.3479,306652.25,1472.7,0.6618733333333334,-4.771739175819867,-6.137778041271972,-4.0766315333128915,0.44321620096362446,0.6716536195215064
2019-12-01,7301.07,18133637.5,132394956742.125,15347500000000.0,True,25434706017.958702,302067.0,1523.1,0.6725290322580646,-4.75291832159579,-6.4025932532632215,-4.094875070858825,0.4893037791327218,0.7196458781585287
2020-01-01,9279.81,18192850.0,168826191358.5,15427100000000.0,True,38206159833.31333,311702.4285714286,1552.4,0.6698133333333334,-4.515011249930741,-6.000884227338859,-4.066734960616016,0.8231057395131118,0.7073409154988948
2020-02-01,8785.52,18244775.0,160289835658.0,15493400000000.0,True,55392791542.75344,331446.75,1566.7,0.6321586206896552,-4.571185756416333,-5.6337199370438675,-4.008166853409898,0.6421743158834566,0.5414885339958962
2020-03-01,5885.41,18297962.5,107691011477.125,16033000000000.0,True,36679529129.65393,297881.14285714284,1596.6,0.6440677419354839,-5.0031382554033,-6.08018556713341,-4.117850436361952,0.16746087863408754,0.5930634835034966
2020-04-01,7699.27,18354375.0,141315288806.25,17065300000000.0,True,29989856224.473946,288026.5,1694.2,0.6427466666666666,-4.7938089561558614,-6.343943242394213,-4.154570754891988,0.09610063536459867,0.5873055127824034
2020-05-01,9569.21,18390887.5,175986264573.87497,17932900000000.0,True,51494076646.3064,291962.5,1751.7,0.6641387096774193,-4.62398634382224,-5.852925509142847,-4.142985206994171,-0.14410153853333205,0.6817927794704107
2020-06-01,9185.35,18419318.75,169187889480.3125,18184300000000.0,True,39069790808.77514,307957.71428571426,1800.5,0.6434266666666666,-4.677303993981486,-6.142964308631218,-4.0911928426010045,-0.4341443968663995,0.5902681381281947
2020-07-01,11042.4,18448000.0,203710195200.0,18335400000000.0,True,41186245313.48653,335782.75,1985.9,0.6179129032258064,-4.4998905244120495,-6.098484547465764,-4.0062468690478905,-0.17641023302601946,0.48069892958933774
2020-08-01,11534.75,18476256.25,213118996779.6875,18411200000000.0,True,43635211099.063965,322206.0,1978.6,0.5865774193548388,-4.458863774030767,-6.044850035627557,-4.049050648254915,-0.0716175619173341,0.3498343941529128
2020-09-01,10840.8,18504575.0,200604396660.0,18602500000000.0,True,45435260759.18478,306405.4285714286,1895.5,0.5614033333333334,-4.529716466436409,-6.014762786970667,-4.100864122811615,0.03854891675552233,0.24685936543155704
2020-10-01,13651.47,18530831.25,252973086884.4375,18757600000000.0,True,47154791507.63482,292236.75,1879.9,0.5907258064516129,-4.306071175488168,-5.985918656046922,-4.149626916531487,0.15141371504299064,0.3669666299752799
2020-11-01,17732.42,18558743.75,329091438847.37494,18997000000000.0,True,82636690269.54387,301273.14285714284,1780.9,0.6329633333333333,-4.055700709167682,-5.437582576917006,-4.1206790135493305,0.7163563631036874,0.5449507430051836
2020-12-01,28856.59,18586956.25,536356175854.1875,19115700000000.0,True,117873567869.41406,309679.125,1895.1,0.6462548387096774,-3.5734668183408336,-5.088652674605514,-4.094678656041806,1.155793601039524,0.6026171426270255
2021-01-01,30419.17,18615925.0,566280987282.25,19379000000000.0,True,169698011770.56155,331896.0,1850.3,0.6595483870967742,-3.5328548855490287,-4.737924828497534,-4.026951009351109,1.0116862617342832,0.6612823293513462
2021-02-01,50624.84,18641425.0,943719157996.9999,19641800000000.0,True,195684016265.94586,313468.28571428574,1728.8,0.6031928571428572,-3.0355866076422378,-4.608914031012709,-4.085443340855542,1.6528814234431402,0.4187865986161923
2021-03-01,55783.71,18670143.75,1041489884608.3125,19873200000000.0,True,201901668155.36423,303629.875,1715.6,0.5942741935483871,-2.948719821059577,-4.589346581813674,-4.11887149284051,2.1771189789163086,0.3816632402756806
