date,value
2019-03-10,212877.0
2019-03-14,299929.0
2019-03-18,291505.0
2019-03-22,298524.0
2019-03-26,366415.0
2019-03-30,377783.0
2019-04-03,360250.0
2019-04-07,350631.0
2019-04-11,402802.0
2019-04-15,381473.0
2019-04-19,362128.0
2019-04-23,311753.0
2019-04-27,359008.0
2019-05-01,439549.0
2019-05-05,330732.0
2019-05-09,361569.0
2019-05-13,390428.0
2019-05-17,361654.0
2019-05-21,380889.0
2019-05-25,338398.0
2019-05-29,405155.0
2019-06-02,301003.0
2019-06-06,364526.0
2019-06-10,353629.0
2019-06-14,364383.0
2019-06-18,394843.0
2019-06-22,354075.0
2019-06-26,399624.0
2019-06-30,330731.0
2019-07-04,370704.0
2019-07-08,378966.0
2019-07-12,360899.0
2019-07-16,363337.0
2019-07-20,323002.0
2019-07-24,295589.0
2019-07-28,272974.0
2019-08-01,335943.0
2019-08-05,339136.0
2019-08-09,341125.0
2019-08-13,370747.0
2019-08-17,288256.0
2019-08-21,308808.0
2019-08-25,288934.0
2019-08-29,346734.0
2019-09-02,327248.0
2019-09-06,365531.0
2019-09-10,339858.0
2019-09-14,299894.0
2019-09-18,363185.0
2019-09-22,318713.0
2019-09-26,355775.0
2019-09-30,311396.0
2019-10-04,337222.0
2019-10-08,336354.0
2019-10-12,301693.0
2019-10-16,338473.0
2019-10-20,289796.0
2019-10-24,303843.0
2019-10-28,309611.0
2019-11-01,316187.0
2019-11-05,332839.0
2019-11-09,306163.0
2019-11-13,318945.0
2019-11-17,264370.0
2019-11-21,323954.0
2019-11-25,279470.0
2019-11-29,311290.0
2019-12-03,336512.0
2019-12-07,285284.0
2019-12-11,291248.0
2019-12-15,263441.0
2019-12-19,319555.0
2019-12-23,304845.0
2019-12-27,322204.0
2019-12-31,293447.0
2020-01-04,287215.0
2020-01-08,318019.0
2020-01-12,283136.0
2020-01-16,325947.0
2020-01-20,313661.0
2020-01-24,313887.0
2020-01-28,340052.0
2020-02-01,303724.0
2020-02-05,368604.0
2020-02-09,317070.0
2020-02-13,340081.0
2020-02-17,341491.0
2020-02-21,338484.0
2020-02-25,334593.0
2020-02-29,307527.0
2020-03-04,358745.0
